Year,Sector,Product,Amount,Note: Value in Millions
1999,Agriculture,Important Crops,322835,
2000,Agriculture,Important Crops,315037,
2001,Agriculture,Important Crops,296705,
2002,Agriculture,Important Crops,344271,
2003,Agriculture,Important Crops,420938,
2004,Agriculture,Important Crops,457230,
2005,Agriculture,Important Crops,449025,
2006,Agriculture,Important Crops,514579,
2007,Agriculture,Important Crops,690748,
2008,Agriculture,Important Crops,985311,
2009,Agriculture,Important Crops,1058365,
2010,Agriculture,Important Crops,1532889,
2011,Agriculture,Important Crops,1236453,
2012,Agriculture,Important Crops,1411388,
2013,Agriculture,Important Crops,1760329,
2014,Agriculture,Important Crops,1735888,
2015,Agriculture,Important Crops,1718029,
2016,Agriculture,Important Crops,1827252,
2017,Agriculture,Important Crops,1890526,
2018,Agriculture,Important Crops,1778254,
1999,Agriculture,Other crops,186561,
2000,Agriculture,Other crops,189530,
2001,Agriculture,Other crops,195036,
2002,Agriculture,Other crops,192036,
2003,Agriculture,Other crops,205434,
2004,Agriculture,Other crops,247511,
2005,Agriculture,Other crops,256777,
2006,Agriculture,Other crops,293478,
2007,Agriculture,Other crops,333499,
2008,Agriculture,Other crops,392163,
2009,Agriculture,Other crops,423866,
2010,Agriculture,Other crops,552499,
2011,Agriculture,Other crops,586669,
2012,Agriculture,Other crops,639078,
2013,Agriculture,Other crops,695138,
2014,Agriculture,Other crops,769867,
2015,Agriculture,Other crops,739842,
2016,Agriculture,Other crops,811971,
2017,Agriculture,Other crops,873557,
2018,Agriculture,Other crops,873215,
1999,Agriculture,Cotton Grinning,42620,
2000,Agriculture,Cotton Grinning,46966,
2001,Agriculture,Cotton Grinning,43064,
2002,Agriculture,Cotton Grinning,49470,
2003,Agriculture,Cotton Grinning,62513,
2004,Agriculture,Cotton Grinning,60650,
2005,Agriculture,Cotton Grinning,60472,
2006,Agriculture,Cotton Grinning,62933,
2007,Agriculture,Cotton Grinning,73744,
2008,Agriculture,Cotton Grinning,83239,
2009,Agriculture,Cotton Grinning,122585,
2010,Agriculture,Cotton Grinning,224129,
2011,Agriculture,Cotton Grinning,143488,
2012,Agriculture,Cotton Grinning,142087,
2013,Agriculture,Cotton Grinning,157467,
2014,Agriculture,Cotton Grinning,184347,
2015,Agriculture,Cotton Grinning,162519,
2016,Agriculture,Cotton Grinning,187240,
2017,Agriculture,Cotton Grinning,199946,
2018,Agriculture,Cotton Grinning,172941,
1999,Agriculture,Livestock,467044,
2000,Agriculture,Livestock,497101,
2001,Agriculture,Livestock,530708,
2002,Agriculture,Livestock,572367,
2003,Agriculture,Livestock,667685,
2004,Agriculture,Livestock,805914,
2005,Agriculture,Livestock,930842,
2006,Agriculture,Livestock,1058801,
2007,Agriculture,Livestock,1195466,
2008,Agriculture,Livestock,1417555,
2009,Agriculture,Livestock,1717446,
2010,Agriculture,Livestock,2131579,
2011,Agriculture,Livestock,2610408,
2012,Agriculture,Livestock,2933384,
2013,Agriculture,Livestock,3129682,
2014,Agriculture,Livestock,3612244,
2015,Agriculture,Livestock,3846646,
2016,Agriculture,Livestock,4180531,
2017,Agriculture,Livestock,4615565,
2018,Agriculture,Livestock,5100770,
1999,Agriculture,Forestry,29767,
2000,Agriculture,Forestry,33477,
2001,Agriculture,Forestry,32416,
2002,Agriculture,Forestry,36944,
2003,Agriculture,Forestry,39726,
2004,Agriculture,Forestry,29789,
2005,Agriculture,Forestry,35067,
2006,Agriculture,Forestry,41719,
2007,Agriculture,Forestry,53061,
2008,Agriculture,Forestry,65526,
2009,Agriculture,Forestry,72423,
2010,Agriculture,Forestry,89390,
2011,Agriculture,Forestry,113103,
2012,Agriculture,Forestry,136500,
2013,Agriculture,Forestry,153722,
2014,Agriculture,Forestry,142902,
2015,Agriculture,Forestry,170706,
2016,Agriculture,Forestry,172578,
2017,Agriculture,Forestry,183196,
2018,Agriculture,Forestry,199643,
1999,Agriculture,Fishing,38213,
2000,Agriculture,Fishing,37684,
2001,Agriculture,Fishing,36894,
2002,Agriculture,Fishing,33758,
2003,Agriculture,Fishing,35707,
2004,Agriculture,Fishing,35111,
2005,Agriculture,Fishing,43163,
2006,Agriculture,Fishing,42807,
2007,Agriculture,Fishing,47009,
2008,Agriculture,Fishing,54827,
2009,Agriculture,Fishing,66588,
2010,Agriculture,Fishing,62234,
2011,Agriculture,Fishing,62954,
2012,Agriculture,Fishing,72538,
2013,Agriculture,Fishing,79880,
2014,Agriculture,Fishing,90873,
2015,Agriculture,Fishing,112223,
2016,Agriculture,Fishing,138893,
2017,Agriculture,Fishing,148132,
2018,Agriculture,Fishing,154992,
1999,Industrial,Mining and Quarrying,99821,
2000,Industrial,Mining and Quarrying,119868,
2001,Industrial,Mining and Quarrying,135898,
2002,Industrial,Mining and Quarrying,160932,
2003,Industrial,Mining and Quarrying,202225,
2004,Industrial,Mining and Quarrying,198397,
2005,Industrial,Mining and Quarrying,254345,
2006,Industrial,Mining and Quarrying,297183,
2007,Industrial,Mining and Quarrying,324258,
2008,Industrial,Mining and Quarrying,413256,
2009,Industrial,Mining and Quarrying,475366,
2010,Industrial,Mining and Quarrying,494739,
2011,Industrial,Mining and Quarrying,642205,
2012,Industrial,Mining and Quarrying,696976,
2013,Industrial,Mining and Quarrying,741022,
2014,Industrial,Mining and Quarrying,707236,
2015,Industrial,Mining and Quarrying,652814,
2016,Industrial,Mining and Quarrying,644686,
2017,Industrial,Mining and Quarrying,755223,
2018,Industrial,Mining and Quarrying,978560,
1999,Industrial,Large Scale Manufacturing,353587,
2000,Industrial,Large Scale Manufacturing,405926,
2001,Industrial,Large Scale Manufacturing,429766,
2002,Industrial,Large Scale Manufacturing,480242,
2003,Industrial,Large Scale Manufacturing,604239,
2004,Industrial,Large Scale Manufacturing,760402,
2005,Industrial,Large Scale Manufacturing,903323,
2006,Industrial,Large Scale Manufacturing,1043111,
2007,Industrial,Large Scale Manufacturing,1363068,
2008,Industrial,Large Scale Manufacturing,1427213,
2009,Industrial,Large Scale Manufacturing,1644117,
2010,Industrial,Large Scale Manufacturing,2144831,
2011,Industrial,Large Scale Manufacturing,2362410,
2012,Industrial,Large Scale Manufacturing,2519037,
2013,Industrial,Large Scale Manufacturing,2824463,
2014,Industrial,Large Scale Manufacturing,2853222,
2015,Industrial,Large Scale Manufacturing,2801169,
2016,Industrial,Large Scale Manufacturing,3044603,
2017,Industrial,Large Scale Manufacturing,3331363,
2018,Industrial,Large Scale Manufacturing,3768783,
1999,Industrial,Small Scale Manufacturing,47351,
2000,Industrial,Small Scale Manufacturing,52048,
2001,Industrial,Small Scale Manufacturing,56354,
2002,Industrial,Small Scale Manufacturing,62179,
2003,Industrial,Small Scale Manufacturing,74031,
2004,Industrial,Small Scale Manufacturing,79942,
2005,Industrial,Small Scale Manufacturing,89116,
2006,Industrial,Small Scale Manufacturing,101162,
2007,Industrial,Small Scale Manufacturing,122473,
2008,Industrial,Small Scale Manufacturing,145946,
2009,Industrial,Small Scale Manufacturing,167383,
2010,Industrial,Small Scale Manufacturing,208611,
2011,Industrial,Small Scale Manufacturing,241951,
2012,Industrial,Small Scale Manufacturing,283107,
2013,Industrial,Small Scale Manufacturing,327030,
2014,Industrial,Small Scale Manufacturing,373595,
2015,Industrial,Small Scale Manufacturing,406648,
2016,Industrial,Small Scale Manufacturing,457088,
2017,Industrial,Small Scale Manufacturing,506842,
2018,Industrial,Small Scale Manufacturing,571021,
1999,Industrial,Slaughtering,32729,
2000,Industrial,Slaughtering,34142,
2001,Industrial,Slaughtering,36032,
2002,Industrial,Slaughtering,40766,
2003,Industrial,Slaughtering,50902,
2004,Industrial,Slaughtering,64410,
2005,Industrial,Slaughtering,72884,
2006,Industrial,Slaughtering,81739,
2007,Industrial,Slaughtering,87345,
2008,Industrial,Slaughtering,105913,
2009,Industrial,Slaughtering,132339,
2010,Industrial,Slaughtering,174209,
2011,Industrial,Slaughtering,205323,
2012,Industrial,Slaughtering,235167,
2013,Industrial,Slaughtering,256975,
2014,Industrial,Slaughtering,283719,
2015,Industrial,Slaughtering,304739,
2016,Industrial,Slaughtering,328520,
2017,Industrial,Slaughtering,379545,
2018,Industrial,Slaughtering,430700,
1999,Industrial,Electricity generation & distribution and Gas distribution,120622,
2000,Industrial,Electricity generation & distribution and Gas distribution,121862,
2001,Industrial,Electricity generation & distribution and Gas distribution,112938,
2002,Industrial,Electricity generation & distribution and Gas distribution,117628,
2003,Industrial,Electricity generation & distribution and Gas distribution,164491,
2004,Industrial,Electricity generation & distribution and Gas distribution,157743,
2005,Industrial,Electricity generation & distribution and Gas distribution,110109,
2006,Industrial,Electricity generation & distribution and Gas distribution,101231,
2007,Industrial,Electricity generation & distribution and Gas distribution,146125,
2008,Industrial,Electricity generation & distribution and Gas distribution,146983,
2009,Industrial,Electricity generation & distribution and Gas distribution,209936,
2010,Industrial,Electricity generation & distribution and Gas distribution,406156,
2011,Industrial,Electricity generation & distribution and Gas distribution,439637,
2012,Industrial,Electricity generation & distribution and Gas distribution,368040,
2013,Industrial,Electricity generation & distribution and Gas distribution,406192,
2014,Industrial,Electricity generation & distribution and Gas distribution,480515,
2015,Industrial,Electricity generation & distribution and Gas distribution,541909,
2016,Industrial,Electricity generation & distribution and Gas distribution,529040,
2017,Industrial,Electricity generation & distribution and Gas distribution,480960,
2018,Industrial,Electricity generation & distribution and Gas distribution,722881,
1999,Industrial,Construction,90541,
2000,Industrial,Construction,98088,
2001,Industrial,Construction,98634,
2002,Industrial,Construction,104522,
2003,Industrial,Construction,119667,
2004,Industrial,Construction,158869,
2005,Industrial,Construction,186380,
2006,Industrial,Construction,221791,
2007,Industrial,Construction,269106,
2008,Industrial,Construction,293910,
2009,Industrial,Construction,302554,
2010,Industrial,Construction,318451,
2011,Industrial,Construction,378140,
2012,Industrial,Construction,423367,
2013,Industrial,Construction,484412,
2014,Industrial,Construction,540859,
2015,Industrial,Construction,601089,
2016,Industrial,Construction,679609,
2017,Industrial,Construction,772755,
2018,Industrial,Construction,803359,
1999,Services,Wholesale & Retail Trade,686036,
2000,Services,Wholesale & Retail Trade,759366,
2001,Services,Wholesale & Retail Trade,788589,
2002,Services,Wholesale & Retail Trade,871463,
2003,Services,Wholesale & Retail Trade,1050582,
2004,Services,Wholesale & Retail Trade,1274386,
2005,Services,Wholesale & Retail Trade,1523067,
2006,Services,Wholesale & Retail Trade,1720385,
2007,Services,Wholesale & Retail Trade,2201667,
2008,Services,Wholesale & Retail Trade,2479758,
2009,Services,Wholesale & Retail Trade,2824137,
2010,Services,Wholesale & Retail Trade,3568178,
2011,Services,Wholesale & Retail Trade,4006835,
2012,Services,Wholesale & Retail Trade,4369465,
2013,Services,Wholesale & Retail Trade,4924462,
2014,Services,Wholesale & Retail Trade,5045262,
2015,Services,Wholesale & Retail Trade,5104854,
2016,Services,Wholesale & Retail Trade,5792701,
2017,Services,Wholesale & Retail Trade,6232724,
2018,Services,Wholesale & Retail Trade,6868209,
1999,Services,"Transport, Storage and Communication",501626,
2000,Services,"Transport, Storage and Communication",585072,
2001,Services,"Transport, Storage and Communication",669120,
2002,Services,"Transport, Storage and Communication",734153,
2003,Services,"Transport, Storage and Communication",786120,
2004,Services,"Transport, Storage and Communication",858135,
2005,Services,"Transport, Storage and Communication",959499,
2006,Services,"Transport, Storage and Communication",1080163,
2007,Services,"Transport, Storage and Communication",1065682,
2008,Services,"Transport, Storage and Communication",1693847,
2009,Services,"Transport, Storage and Communication",1834476,
2010,Services,"Transport, Storage and Communication",1923433,
2011,Services,"Transport, Storage and Communication",1905704,
2012,Services,"Transport, Storage and Communication",2311796,
2013,Services,"Transport, Storage and Communication",2474818,
2014,Services,"Transport, Storage and Communication",3107785,
2015,Services,"Transport, Storage and Communication",3518864,
2016,Services,"Transport, Storage and Communication",3697932,
2017,Services,"Transport, Storage and Communication",3522417,
2018,Services,"Transport, Storage and Communication",3739044,
1999,Services,Finance and Insurance,99972,
2000,Services,Finance and Insurance,115282,
2001,Services,Finance and Insurance,134820,
2002,Services,Finance and Insurance,127340,
2003,Services,Finance and Insurance,125690,
2004,Services,Finance and Insurance,187548,
2005,Services,Finance and Insurance,282919,
2006,Services,Finance and Insurance,342757,
2007,Services,Finance and Insurance,401060,
2008,Services,Finance and Insurance,481308,
2009,Services,Finance and Insurance,474733,
2010,Services,Finance and Insurance,536345,
2011,Services,Finance and Insurance,570503,
2012,Services,Finance and Insurance,522327,
2013,Services,Finance and Insurance,584074,
2014,Services,Finance and Insurance,595961,
2015,Services,Finance and Insurance,544301,
2016,Services,Finance and Insurance,594362,
2017,Services,Finance and Insurance,680741,
2018,Services,Finance and Insurance,874474,
1999,Services,Housing Services,301205,
2000,Services,Housing Services,321701,
2001,Services,Housing Services,342289,
2002,Services,Housing Services,356919,
2003,Services,Housing Services,385104,
2004,Services,Housing Services,443640,
2005,Services,Housing Services,504743,
2006,Services,Housing Services,559956,
2007,Services,Housing Services,636974,
2008,Services,Housing Services,707261,
2009,Services,Housing Services,789220,
2010,Services,Housing Services,886370,
2011,Services,Housing Services,984148,
2012,Services,Housing Services,1092749,
2013,Services,Housing Services,1229110,
2014,Services,Housing Services,1371443,
2015,Services,Housing Services,1506385,
2016,Services,Housing Services,1668521,
2017,Services,Housing Services,1848600,
2018,Services,Housing Services,2063155,
1999,Services,General Governmental Services,231842,
2000,Services,General Governmental Services,247372,
2001,Services,General Governmental Services,273696,
2002,Services,General Governmental Services,300837,
2003,Services,General Governmental Services,328386,
2004,Services,General Governmental Services,361217,
2005,Services,General Governmental Services,425218,
2006,Services,General Governmental Services,470688,
2007,Services,General Governmental Services,529107,
2008,Services,General Governmental Services,654144,
2009,Services,General Governmental Services,778002,
2010,Services,General Governmental Services,1009433,
2011,Services,General Governmental Services,1244687,
2012,Services,General Governmental Services,1486115,
2013,Services,General Governmental Services,1660434,
2014,Services,General Governmental Services,1818477,
2015,Services,General Governmental Services,2050560,
2016,Services,General Governmental Services,2263393,
2017,Services,General Governmental Services,2629924,
2018,Services,General Governmental Services,3040050,
1999,Services,Other Private Services,314883,
2000,Services,Other Private Services,347479,
2001,Services,Other Private Services,388364,
2002,Services,Other Private Services,425482,
2003,Services,Other Private Services,467024,
2004,Services,Other Private Services,537078,
2005,Services,Other Private Services,628828,
2006,Services,Other Private Services,701283,
2007,Services,Other Private Services,814863,
2008,Services,Other Private Services,994105,
2009,Services,Other Private Services,1155011,
2010,Services,Other Private Services,1384077,
2011,Services,Other Private Services,1626893,
2012,Services,Other Private Services,1860219,
2013,Services,Other Private Services,2139688,
2014,Services,Other Private Services,2375495,
2015,Services,Other Private Services,2618997,
2016,Services,Other Private Services,2958640,
2017,Services,Other Private Services,3333280,
2018,Services,Other Private Services,3812369,
